"Date","Price","Open","High","Low","Change %"
"Jun 28, 2020","129.471","130.295","130.295","128.872","-0.41%"
"Jun 21, 2020","130.004","130.120","130.974","127.481","-0.09%"
"Jun 14, 2020","130.116","130.985","132.329","126.694","-0.66%"
"Jun 07, 2020","130.987","127.362","132.162","126.487","2.91%"
"May 31, 2020","127.288","130.467","130.467","122.994","-2.62%"
"May 24, 2020","130.707","130.611","130.726","127.845","0.59%"
"May 17, 2020","129.946","124.623","131.382","122.089","4.19%"
"May 10, 2020","124.722","122.793","126.715","120.913","0.61%"
"May 03, 2020","123.967","130.397","131.405","123.079","-4.93%"
"Apr 26, 2020","130.399","131.639","132.083","129.741","-0.96%"
"Apr 19, 2020","131.658","130.774","133.958","129.498","-1.58%"
"Apr 12, 2020","133.768","127.742","135.902","126.310","4.77%"
"Apr 05, 2020","127.683","123.943","127.858","121.024","2.46%"
"Mar 29, 2020","124.614","129.713","135.149","124.095","-0.53%"
"Mar 22, 2020","125.274","105.492","127.179","104.099","21.22%"
"Mar 15, 2020","103.342","126.871","127.689","99.117","-14.73%"
"Mar 08, 2020","121.197","139.314","146.807","111.855","-10.16%"
"Mar 01, 2020","134.908","124.498","137.970","122.598","8.71%"
"Feb 23, 2020","124.097","124.345","126.620","123.102","-0.20%"
"Feb 16, 2020","124.345","123.210","126.502","123.210","0.92%"
"Feb 09, 2020","123.210","124.432","124.619","121.864","-0.75%"
"Feb 02, 2020","124.142","123.456","124.244","120.596","0.63%"
"Jan 26, 2020","123.362","124.127","126.079","122.515","-0.02%"
"Jan 19, 2020","123.386","119.330","123.551","119.330","3.40%"
"Jan 12, 2020","119.330","119.551","120.631","118.839","-0.19%"
"Jan 05, 2020","119.553","121.605","121.760","117.408","-1.38%"
"Dec 29, 2019","121.223","119.992","121.327","118.055","0.93%"
"Dec 22, 2019","120.105","118.809","120.167","118.214","1.09%"
"Dec 15, 2019","118.809","120.222","121.027","118.143","-1.38%"
"Dec 08, 2019","120.470","117.410","120.929","117.350","2.64%"
"Dec 01, 2019","117.370","118.283","120.084","117.042","-1.40%"
"Nov 24, 2019","119.042","117.264","119.625","116.974","1.46%"
"Nov 17, 2019","117.325","117.509","119.648","116.905","-0.02%"
"Nov 10, 2019","117.346","115.988","118.607","115.651","1.17%"
"Nov 03, 2019","115.988","118.391","118.391","115.022","-2.03%"
"Oct 27, 2019","118.392","117.301","119.966","116.204","0.88%"
"Oct 20, 2019","117.355","117.915","118.913","117.008","-0.45%"
"Oct 13, 2019","117.880","117.088","119.372","116.788","0.68%"
"Oct 06, 2019","117.088","120.764","121.048","116.707","-3.04%"
"Sep 29, 2019","120.764","118.803","120.937","117.909","1.54%"
"Sep 22, 2019","118.938","117.960","120.468","117.507","0.83%"
"Sep 15, 2019","117.961","113.657","118.782","113.657","3.59%"
"Sep 08, 2019","113.869","119.294","119.294","112.497","-4.55%"
"Sep 01, 2019","119.294","121.653","122.965","117.899","-1.94%"
"Aug 25, 2019","121.653","120.676","123.312","119.363","1.55%"
"Aug 18, 2019","119.796","117.907","121.968","116.800","0.47%"
"Aug 11, 2019","119.239","115.146","120.104","115.146","3.55%"
"Aug 04, 2019","115.146","115.447","118.602","113.468","-0.19%"
"Jul 28, 2019","115.367","111.838","115.784","111.457","3.16%"
"Jul 21, 2019","111.838","111.373","113.081","110.856","0.40%"
"Jul 14, 2019","111.393","110.144","112.017","109.521","1.13%"
"Jul 07, 2019","110.144","112.425","113.138","109.265","-2.03%"
"Jun 30, 2019","112.425","111.522","113.975","111.379","0.28%"
"Jun 23, 2019","112.107","111.053","112.557","110.687","1.03%"
"Jun 16, 2019","110.963","108.188","111.635","107.607","2.60%"
"Jun 09, 2019","108.151","107.756","108.649","106.670","-0.02%"
"Jun 02, 2019","108.177","106.752","108.235","105.605","1.33%"
"May 26, 2019","106.752","104.720","107.010","104.124","1.94%"
"May 19, 2019","104.720","105.703","105.703","103.577","-0.93%"
"May 12, 2019","105.703","105.425","106.030","104.508","1.15%"
"May 05, 2019","104.499","105.082","105.902","104.116","-0.24%"
"Apr 28, 2019","104.753","105.654","106.232","104.369","-0.85%"
"Apr 21, 2019","105.654","105.166","105.902","104.398","0.37%"
"Apr 14, 2019","105.269","105.882","105.971","104.826","-0.64%"
"Apr 07, 2019","105.944","105.837","106.504","104.988","0.12%"
"Mar 31, 2019","105.815","106.456","106.580","105.094","-0.91%"
"Mar 24, 2019","106.788","105.572","107.293","105.194","1.15%"
"Mar 17, 2019","105.572","103.350","106.053","102.829","2.15%"
"Mar 10, 2019","103.350","103.515","103.919","102.594","-0.16%"
"Mar 03, 2019","103.515","101.599","103.578","101.409","1.89%"
"Feb 24, 2019","101.599","103.169","103.605","101.360","-1.52%"
"Feb 17, 2019","103.169","103.212","104.858","101.693","-0.04%"
"Feb 10, 2019","103.212","103.361","103.972","101.462","-0.14%"
"Feb 03, 2019","103.361","102.617","104.038","101.962","0.73%"
"Jan 27, 2019","102.617","101.782","102.709","100.930","0.82%"
"Jan 20, 2019","101.782","101.170","102.756","100.833","0.60%"
"Jan 13, 2019","101.170","100.048","101.247","99.059","1.12%"
"Jan 06, 2019","100.048","99.613","101.620","99.089","0.44%"
"Dec 30, 2018","99.613","99.467","100.955","99.056","0.15%"
"Dec 23, 2018","99.467","100.547","101.397","98.825","-1.07%"
"Dec 16, 2018","100.547","99.635","102.484","99.527","0.92%"
"Dec 09, 2018","99.635","98.735","99.782","96.796","1.13%"
"Dec 02, 2018","98.523","96.479","99.050","96.146","2.12%"
"Nov 25, 2018","96.479","97.492","97.583","96.334","-1.01%"
"Nov 18, 2018","97.463","96.909","97.867","96.101","0.57%"
"Nov 11, 2018","96.909","98.238","99.501","96.794","-1.35%"
"Nov 04, 2018","98.238","97.426","98.340","96.935","0.83%"
"Oct 28, 2018","97.426","97.957","99.018","96.067","-0.55%"
"Oct 21, 2018","97.962","98.793","99.368","97.759","-1.89%"
"Oct 14, 2018","99.849","99.319","99.982","99.084","0.34%"
"Oct 07, 2018","99.508","99.520","100.076","98.630","-0.01%"
"Sep 30, 2018","99.520","101.119","102.274","98.814","-1.80%"
"Sep 23, 2018","101.349","101.374","102.089","100.980","-0.02%"
"Sep 16, 2018","101.374","103.108","103.221","101.070","-1.68%"
"Sep 09, 2018","103.108","102.369","103.352","101.634","0.69%"
"Sep 02, 2018","102.403","102.827","102.827","101.660","-0.41%"
"Aug 26, 2018","102.827","103.857","103.980","102.479","-0.87%"
"Aug 19, 2018","103.731","103.069","104.409","102.881","0.72%"
"Aug 12, 2018","102.989","102.450","103.381","101.801","0.30%"
"Aug 05, 2018","102.681","102.866","103.364","102.169","-0.21%"
"Jul 29, 2018","102.895","102.808","103.328","101.381","0.08%"
"Jul 22, 2018","102.816","102.165","103.451","101.025","0.68%"
"Jul 15, 2018","102.121","103.246","104.013","102.115","-1.11%"